Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bathymetry contribution,distp contribution,slope contribution,surface_temp contribution,bathymetry permutation importance,distp permutation importance,slope permutation importance,surface_temp permutation importance,Training gain without bathymetry,Training gain without distp,Training gain without slope,Training gain without surface_temp,Training gain with only bathymetry,Training gain with only distp,Training gain with only slope,Training gain with only surface_temp,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
species_0,42,0.1833,0.2076,160,0.6710,203,4.8676,60.2361,19.5217,15.3747,18.6946,48.9227,20.8492,11.5336,0.1740,0.1193,0.1504,0.1697,0.0658,0.1054,0.0609,0.0030,5.1300,0.5158,1.0000,0.1789,0.9064,0.0238,5.0000,0.3719,0.8079,0.0476,10.0000,0.4259,0.7241,0.0476,0.8301,0.1620,0.9113,0.0000,11.9929,0.4501,0.6946,0.0952,40.8511,0.5866,0.3793,0.3810,40.8511,0.5866,0.3793,0.3333,0.8301,0.1620,0.9113,0.0000,3.7821,0.3399,0.8325,0.0476
species_1,42,0.3450,0.3558,120,0.7273,203,42.8104,31.5671,3.1273,22.4952,56.2737,22.6737,6.2737,14.7789,0.2646,0.2796,0.3322,0.2566,0.2201,0.1302,0.0244,0.0329,4.9686,0.4304,1.0000,0.1216,0.8916,0.0000,5.0000,0.2338,0.7488,0.0238,10.0000,0.3109,0.6355,0.0476,2.6481,0.1788,0.8227,0.0000,15.5011,0.3737,0.5468,0.0952,32.9412,0.5233,0.3350,0.3333,16.8166,0.3811,0.5222,0.1190,2.6481,0.1788,0.8227,0.0000,6.9111,0.2682,0.7044,0.0476
species_2,42,0.1706,0.1818,140,0.6681,203,58.2990,3.5334,14.7531,23.4144,56.0761,0.0000,30.1977,13.7262,0.0884,0.1628,0.1259,0.1347,0.0817,0.0108,0.0070,0.0282,5.1420,0.5206,1.0000,0.1979,0.9409,0.0238,5.0000,0.3333,0.8276,0.0238,10.0000,0.3846,0.7340,0.1190,0.6488,0.1664,0.9557,0.0000,6.1991,0.3485,0.8030,0.0238,40.8776,0.6186,0.3596,0.3571,39.1942,0.6092,0.3695,0.3095,0.6488,0.1664,0.9557,0.0000,4.4983,0.3235,0.8424,0.0238
species_3,42,0.1987,0.2070,100,0.6784,203,68.8409,13.1132,6.8422,11.2038,58.2208,12.9949,22.3102,6.4741,0.1189,0.1715,0.1787,0.1720,0.1464,0.0665,0.0024,0.0067,5.1144,0.5062,1.0000,0.1953,0.9163,0.0000,5.0000,0.3078,0.8128,0.0476,10.0000,0.3681,0.7143,0.0714,2.7612,0.2682,0.8621,0.0000,10.6925,0.3767,0.6995,0.0952,37.3850,0.5986,0.3793,0.3810,24.3634,0.4921,0.5123,0.1667,2.7612,0.2682,0.8621,0.0000,4.7882,0.3058,0.8177,0.0476
species_4,42,0.1851,0.1922,120,0.6754,203,93.8187,0.5525,1.9386,3.6903,91.3911,2.3097,6.2992,0.0000,0.0513,0.1847,0.1817,0.1806,0.1716,0.0306,0.0110,0.0015,5.1281,0.5135,1.0000,0.1968,0.9212,0.0000,5.0000,0.3365,0.8177,0.0714,10.0000,0.3927,0.7291,0.0952,1.1133,0.1968,0.9163,0.0000,19.8462,0.4513,0.5813,0.0952,37.8380,0.5994,0.3793,0.3810,19.8462,0.4513,0.5813,0.0952,1.1133,0.1968,0.9163,0.0000,4.7434,0.3334,0.8276,0.0714
species_5,42,0.1861,0.2260,220,0.6881,203,3.3464,64.9941,31.2584,0.4011,6.4664,52.0876,41.4460,0.0000,0.1793,0.0419,0.1049,0.1860,0.0109,0.0934,0.0200,0.0060,5.1256,0.5142,1.0000,0.1509,0.9113,0.0238,5.0000,0.3742,0.7882,0.0238,10.0000,0.4425,0.7143,0.0238,0.4010,0.0963,0.9458,0.0000,16.1478,0.5049,0.6355,0.0714,47.5611,0.6294,0.3350,0.3333,48.7538,0.6334,0.3251,0.3333,0.4010,0.0963,0.9458,0.0000,3.4567,0.2656,0.8276,0.0238
species_6,42,0.1165,0.1226,100,0.6296,203,90.4812,0.2969,7.8743,1.3476,86.0322,0.0000,13.9678,0.0000,0.0359,0.1161,0.1025,0.1151,0.0987,0.0207,0.0000,0.0001,5.1967,0.5542,1.0000,0.2580,0.9409,0.0000,5.0000,0.3869,0.8571,0.0952,10.0000,0.4282,0.7685,0.1667,2.5279,0.3213,0.9064,0.0000,5.0317,0.3869,0.8522,0.0952,45.7023,0.6518,0.3596,0.3571,46.2878,0.6528,0.3498,0.3571,1.6878,0.2982,0.9261,0.0000,3.4444,0.3510,0.8867,0.0238
species_7,42,0.2503,0.2845,260,0.7072,203,51.8636,15.9662,4.1251,28.0451,61.7805,2.0080,10.2410,25.9705,0.1867,0.2299,0.2397,0.1793,0.1506,0.0682,0.0385,0.0425,5.0633,0.4784,1.0000,0.1665,0.8916,0.0000,5.0000,0.3163,0.7734,0.0238,10.0000,0.3849,0.6847,0.0714,2.5975,0.2235,0.8325,0.0000,13.6923,0.3994,0.6256,0.0952,36.4427,0.5640,0.3596,0.3810,34.8842,0.5512,0.3695,0.2857,2.5975,0.2235,0.8325,0.0000,4.9601,0.3148,0.7783,0.0238
species_8,42,0.2005,0.2209,160,0.6905,203,45.2857,24.4139,14.9396,15.3608,40.2066,13.1405,29.9587,16.6942,0.1319,0.1439,0.1523,0.1781,0.0942,0.0585,0.0014,0.0140,5.1127,0.5039,1.0000,0.2090,0.9310,0.0000,5.0000,0.2924,0.8177,0.0714,10.0000,0.3648,0.7192,0.1190,1.7129,0.2229,0.9113,0.0000,6.9859,0.3273,0.7734,0.0714,39.4593,0.5982,0.3498,0.3333,49.1325,0.6617,0.2709,0.3810,1.7129,0.2229,0.9113,0.0000,5.1823,0.2924,0.8177,0.0714
species_9,42,0.0880,0.1026,180,0.6051,203,72.7110,19.2355,4.8497,3.2038,60.6173,27.7778,0.0000,11.6049,0.0245,0.0589,0.0843,0.0793,0.0550,0.0167,0.0120,0.0015,5.2252,0.5728,1.0000,0.3135,0.9409,0.0238,5.0000,0.4486,0.8621,0.0476,10.0000,0.5028,0.7931,0.0476,0.6602,0.2074,0.9458,0.0000,13.3107,0.5180,0.7488,0.0952,40.7593,0.5999,0.4532,0.4524,20.2809,0.5521,0.6650,0.1429,0.6602,0.2074,0.9458,0.0000,2.4136,0.3701,0.9113,0.0476
species_10,42,0.2046,0.2205,160,0.6814,203,82.5660,4.2302,7.8324,5.3714,67.9195,1.0588,25.7808,5.2409,0.0973,0.1901,0.1773,0.1940,0.1622,0.0530,0.0070,0.0030,5.1087,0.5021,1.0000,0.1849,0.9261,0.0000,5.0000,0.3130,0.8177,0.0952,10.0000,0.3520,0.7192,0.1429,2.6680,0.2609,0.8719,0.0000,6.5238,0.3243,0.7833,0.0952,37.6811,0.5997,0.3645,0.3810,35.5309,0.5721,0.3793,0.2857,2.6680,0.2609,0.8719,0.0000,5.3541,0.3143,0.8128,0.0952
